title,author,condition,price
Cross My Heart and Never Lie,by Nora Dasnes,Very Good,"£9,00"
The Man of Steel,by Brian Michael Bendis,Like New,"£10,50"
"Fine Print, Volume 1",by Stjepan Sejic,Like New,"£9,40"
"Naruto, Vol. 22",by Masashi Kishimoto,Very Good,"£5,80"
Fairy Tail Blue Mistral 2,by Hiro Mashima,New,"£9,09"
"Under Ninja, Volume 1",by Kengo Hanazawa,Very Good,"£7,70"
"Boy's Abyss, Vol. 5",by Ryo Minenami,Like New,"£9,40"
Wolverine: Old Man Logan Vol. 1 - Berzerker,by Andrea Sorrentino,Very Good,"£16,99"
Summit of the Gods Vol.3,by Jiro Taniguchi,Very Good,"£18,99"
Tatsuki Fujimoto Before Chainsaw Man: 22-26,by Tatsuki Fujimoto,Very Good,"£6,30"
"Overlord, Vol. 2 (manga)",by Kugane Maruyama,Very Good,"£7,90"
Batman '66 Vol. 3,by Jeff Parker,Very Good,"£10,30"
"Toilet-bound Hanako-kun, Vol. 1",by Aidalro,Very Good,"£3,50"
Witch Hat Atelier 2,by Kamome Shirahama,Very Good,£8.40
A Silent Voice Complete Series Box Set,by Yoshitoki Oima,Very Good,£62.40
"Goodnight Punpun, Vol. 6",by Inio Asano,Like New,£13.60
"Goodnight Punpun, Vol. 4",by Inio Asano,Very Good,£13.00
"Chainsaw Man, Vol. 13",by Tatsuki Fujimoto,Very Good,£7.90
Berserk Volume 1,by Kentaro Miura,Very Good,£7.90
Marvel Zombies Omnibus,by Robert Kirkham,Very Good,£17.00
"Demon Slayer: Kimetsu no Yaiba, Vol. 18",by Koyoharu Gotouge,Very Good,£7.40
"Demon Slayer: Kimetsu no Yaiba, Vol. 3",by Koyoharu Gotouge,Very Good,£7.90
"Solo Leveling, Vol. 7 (Comic)",by Chugong,Very Good,£11.90
"Dragon Ball Super, Vol. 1",by Toyotarou,Very Good,£5.30
Batman,by Jeph Loeb,Very Good,£12.00
"One-Punch Man, Vol. 4",by Yusuke Murata,Very Good,£8.99
Wonder Woman Vol. 1: Outlaw,by Tom King,Very Good,£12.00
"Haikyu!!, Vol. 1",by Haruichi Furudate,Very Good,£7.99
