title,author,condition,price
Fair Stands the Wind,by Catherine Lodge,Very Good,£4.80
The Woodlanders,by Thomas Hardy,Very Good,£3.49
"Cadide, Zadig",by Francois Voltaire,Very Good,£3.99
Middlemarch,by George Eliot,Well Read,£3.99
An Eye for an Eye,by Anthony Trollope,Very Good,£4.99
Therese Raquin,by Emile Zola,Very Good,£3.50
The Gift of the Magi,by O. Henry,Like New,£3.99
The Scarlet Letter-Om Illustrated Classics,by Nathaniel Hawthorne,Very Good,£5.99
A Group of Noble Dames,by Thomas Hardy,Very Good,£3.90
Burning Secret And Other Stories,by Stefan Zweig,Very Good,£4.30
A Diversity of Creatures,by Rudyard Kipling,Good,£3.80
Far from the Madding Crowd,by Thomas Hardy,Very Good,£9.99
Titus Andronicus And Timon Of Athens,by William Shakespeare,Very Good,£4.80
The Burmese Box,by Lila Majumdar,Very Good,£6.60
Heart of Darkness,by Joseph Conrad,Very Good,£14.42
Beaux et damnes,by Francis Scott Fitzgerald,Very Good,£5.30
This is Not a Story,by Denis Diderot,Very Good,£5.99
Frank and I,by ANON,Very Good,£3.49
Persuasion,by Jane Austen,Like New,£6.80
Henry Esmond,by William Makepeace Thackeray,Very Good,£4.30
Wuthering Heights,by Emily Bronte,Like New,£8.40
Kept in the Dark,by Anthony Trollope,Very Good,£4.10
Two Days in the Life of the Terrestrial Globe and Other Stories,by Vladimir Odoevsky,Very Good,£7.99
The Emperor of Portugallia,by Selma Lagerloef,Very Good,£5.50
The Swiss Family Robinson,by Johann David Wyss,Very Good,£9.00
Christmas Carol and Other Christmas Classics,by Charles Dickens,Very Good,£9.99
Mansfield Park,by Jane Austen,Very Good,£3.70
"The Adventures of Tom Sawyer and Tom Sawyer, Detective",by Mark Twain,Very Good,£5.50
Black Suits You,by Novoneel Chakraborty,Very Good,£3.49
La tesis de Nancy,by Ramon J. Sender,Very Good,£10.00
The Three Musketeers,by Alexandre Dumas,Very Good,£3.90
Hudson River Bracketed,by Edith Wharton,Very Good,£5.30
Little Dorrit,by Charles Dickens,Very Good,£3.50
The Complete Tales Of Washington Irving,by Charles Neider,Very Good,£8.00
The Immoralist,by Andre Gide,Very Good,£3.50
Hargrave,by Frances Trollope,Very Good,£4.30
War and Peace,by Leo Tolstoy,Very Good,£3.50
Christmas Stories,by Giles Gordon,Very Good,£7.40
A Little Princess (AmazonClassics Edition),by Frances Hodgson Burnett,Very Good,£4.99
The Green Dwarf and Other Early Fiction,by Charlotte Bronte,Very Good,£7.99
The Kreutzer Sonata and Other Stories,by Leo Tolstoy,Very Good,£3.80
Don Quixote,by Miguel de Cervantes Saavedra,Very Good,£3.50
Heidi (AmazonClassics Edition),by Johanna Spyri,Very Good,£4.99
The Last of the Mohicans,by James Fenimore Cooper,Very Good,£3.50
The Happy Reader - Issue 10,by Penguin Penguin Classics,Very Good,£4.00
The Women's War,by Alexandre Dumas,Very Good,£14.99
You Can't Do Both,by Kingsley Amis,Very Good,£3.50
The Moorland Cottage and Other Stories,by Elizabeth Cleghorn Gaskell,Well Read,£5.99
The Wind in the Willows,by Kenneth Grahame,Like New,£4.50
A Christmas Carol (Vintage Classics Dickens Series),by Charles Dickens,Very Good,£5.80
A Christmas Carol,by Jesse Kornbluth,Like New,£3.49
A Serendipitous Error and An Evil Malady,by Ivan Goncharov,Very Good,£7.99
The Ring is Closed,by Knut Hamsun,Very Good,£12.99
Villette,by Charlotte Bronte,Very Good,£3.50
The Scarlet Letter,by Nathaniel Hawthorne,Good,£3.49
Bleak House,by Charles Dickens,Very Good,£3.50
A Tale of Two Cities,by Charles Dickens,Very Good,£3.49
Thelma,by Marie Corelli,Very Good,£11.00
The Way of All Flesh,by Samuel Butler,Very Good,£5.99
The House of Mirth,by Edith Wharton,Very Good,£4.80
The Signet Classic Book Of Mark Twain's Short Stories,by Mark Twain,Very Good,£3.80
L'education sentimentale,by Gustave Flaubert,Very Good,£4.80
The Lost World,by Arthur Conan Doyle,Very Good,£4.80
The Adventures of Tom Sawyer,by Mark Twain,Very Good,£4.80
The Cranford Chronicles,by Elizabeth Gaskell,Very Good,£3.50
Robinson Crusoe and the Further Adventures of Robinson Crusoe,by Daniel Defoe,Very Good,£3.90
Dew On The Grass,by Eiluned Lewis,Very Good,£9.00
"Frankenstein; Or, The Modern Prometheus (Legend Classics)",by Mary Shelley,Like New,£8.99
Anna Karenin,by Leo Tolstoy,Very Good,£4.80
Bleak House,by Charles Dickens,Very Good,£4.30
Childhood,by Gerard Reve,Very Good,£4.30
Omnibus I,by Rabindranath Tagore,Very Good,£9.90
Late Call,by Angus Wilson,Very Good,£5.30
Persuasion,by Jane Austen,Very Good,£3.50
Injustice,by Richard Wright,Very Good,£3.49
Wuthering Heights (with an Introduction by Mary Augusta Ward),by Emily Bronte,Like New,£3.80
Ernest et Celestine vont pique-niquer,by Gabrielle Vincent,Very Good,£5.70
Devdas,by Sarachandra Chattopadhyay,Very Good,£6.99
Waterloo,by Victor Hugo,Very Good,£3.49
Uncle Tom's Cabin,by Harriet Beecher Stowe,Very Good,£4.80
Attack on the Mill and Other Stories,by Emile Zola,Very Good,£7.90
A Different Sea,by Claudio Magris,Very Good,£5.30
Apache Ambush,by B N Rundell,Very Good,£4.80
Charles Dicken's Pictures From Italy,by Charles Dickens,Very Good,£11.40
The Christmas Books,by Charles Dickens,Very Good,£3.50
The Citadel,by A. J. Cronin,Very Good,£4.80
Little Apple,by Leo Perutz,Very Good,£3.49
People from Bloomington,by Tiffany Tsao,Like New,£10.99
A Christmas Carol,by Dickens,Very Good,£4.80
Complete Canterbury Tales,by Geoffrey Chaucer,Very Good,£5.80
Illustrated Adventures of Sherlock Holmes,by Sir Arthur Conan Doyle,Very Good,£5.60
The Jungle Book [Large Print Edition],by Summit Classic Press,Very Good,£9.00
The Confusions of Young Master Toerless,by Robert Musil,Very Good,£4.80
Colour in the Flower Garden,by Gertrude Jekyll,Very Good,£11.40
Woodcutters,by Thomas Bernhard,Very Good,£9.99
The String of Pearls: A Romance - The Original Sweeney Todd,by Thomas Preskett Prest,Very Good,£7.99
Death in Venice,by Thomas Mann,Very Good,£3.50
Burmese Days,by George Orwell,Very Good,£9.99
The Metamorphosis,by Franz Kafka,Very Good,£7.95
My Childhood,by Maxim Gorky,Very Good,£4.80
Investigations of a Dog,by Franz Kafka,Very Good,£13.99
A Struggle For Fame,by Charlotte Riddell,Very Good,£4.80
Royal Highness,by Thomas Mann,Very Good,£7.10
Maggie,by Stephen Crane,Very Good,£4.30
Jane Eyre,by Charlotte Bronte,Very Good,£4.80
Uncharted Territory,by B N Rundell,Like New,£5.20
Frankenstein,by Mary Wollstonecraft Shelley,Very Good,£3.60
The Ladies' Paradise,by Emile Zola,Very Good,£3.90
A Christmas Carol,by Charles Dickens,Very Good,£3.49
The Trial,by Franz Kafka,Very Good,£5.30
Gulliver's Travels,by Jonathan Swift,Very Good,£3.49
The Count of Monte Cristo,by Alexandre Dumas,Very Good,£9.99
In One Person,by John Irving,Very Good,£3.70
The Picture of Dorian Gray,by Oscar Wilde,Very Good,£4.30
Charlotte Temple and Lucy Temple,by Susanna Rowson,Very Good,£4.30
Les gens des nuages,by J M G Le Clezio,Very Good,£4.30
A Modest Proposal and Other Satires,by Jonathan Swift,Very Good,£6.30
Scenes of Clerical Life,by George Eliot,Well Read,£4.30
The Intimate Strangers and Other Stories,by F. Scott Fitzgerald,Very Good,£4.40
Frankenstein,by Mary Wollstonecraft Shelley,Very Good,£11.50
Lorna Doone,by R. D. Blackmore,Very Good,£11.90
Diamonds,by Esther Kreitman,Very Good,£8.80
The Metamorphosis,by Franz Kafka,Like New,£12.40
The Pickwick Papers,by Charles Dickens,Very Good,£3.50
The Diary of a Nobody,by George and Weedon Grossmith,Very Good,£3.49
Middlemarch,by George Eliot,Very Good,£6.50
"Hartly House, Calcutta",by Michael J. Franklin,Very Good,£9.00
Crime and Punishment,by F. M. Dostoevsky,Very Good,£7.00
Chekhov,by Anton Pavlovich Chekhov,Very Good,£10.10
Little Men,by Louisa May Alcott,Very Good,£4.99
Image on the Heart and Other Stories,by Scott F. Fitzgerald,Well Read,£3.49
Once Upon a Time in Pemberley,by Summer Hanford,Very Good,£9.20
The KISS And Other Stories,by Kate Chopin,Very Good,£3.49
Allan Quatermain,by H. Rider Haggard,Very Good,£3.49
Blandings: TV Tie-In,by P.G. Wodehouse,Very Good,£3.50
Mary Barton,by Elizabeth Cleghorn Gaskell,Very Good,£3.49
The Worst Journey in the World,by Apsley Cherry-Garrard,Very Good,£9.20
The Castle of Otranto,by Horace Walpole,Like New,£4.50
Beau Geste,by Percival Wren,Very Good,£5.60
Anatole France - The Revolt Of The Angels,by Anatole France,Very Good,£13.00
Out of the Dark,by Robert W. Chambers,Very Good,£6.90
The Master Pipers,by George Sand,Very Good,£6.99
Forgotten Fitzgerald,by F. Scott Fitzgerald,Very Good,£3.49
Ragged Dick,"by Horatio Alger, Jr.",Very Good,£5.80
Vanessa,by Hugh Walpole,Very Good,£5.80
Steppenwolf,by Hermann Hesse,Very Good,£3.50
The Kiss of Lamourette,by Robert Darnton (Harvard University),Well Read,£10.80
"The Loveday Revenge (Loveday series, Book 8)",by Kate Tremayne,Very Good,£4.80
The Kreutzer Sonata,by Leo Tolstoy,Very Good,£4.99
Jealousy,by Marcel Proust,Very Good,£3.50
Anne of Green Gables,by Lucy Maud Montgomery,Like New,£8.50
Shoshone Summer,by B N Rundell,Very Good,£7.90
A Country Doctor,by Franz Kafka,Very Good,£9.50
Grand Canyon,by Vita Sackville-West,Very Good,£12.99
Black Beauty,by Anna Sewell,Very Good,£5.30
The Brothers Grimm: 101 Fairy Tales,by Jacob Grimm,Very Good,£5.00
The Power and the Glory,by Graham Greene,Very Good,£4.80
Farthing Hall,by Hugh Walpole,Very Good,£3.80
Die Blendung,by Elias Canetti,Like New,£6.80
Down and Out in Paris and London,by George Orwell,Very Good,£8.99
Faust,by Johann Wolfgang Von Goethe,Like New,£4.70
Dracula,by Bram Stoker,Very Good,£5.80
A Passage to India,by E M Forster,Very Good,£7.20
Collected Short Stories,by E. M. Forster,Very Good,£3.49
Sisters,by Louisa May Alcott,Very Good,£4.80
The Life of Henry James,by Leon Edel,Good,£5.00
Marriage,by Jane Austen,Very Good,£3.90
The Blacker the Berry,by Wallace Thurman,Very Good,£8.40
The Steel Flea,by Nikolay Leskov,Very Good,£3.49
The Old Wives' Tale,by Arnold Bennett,Very Good,£4.50
Rain and Other South Sea Stories,by W Somerset Maugham,Good,£5.00
Vanity Fair,by William Makepeace Thackeray,Very Good,£4.00
The Last of the Mohicans,by James Fenimore Cooper,Very Good,£17.50
An Impossible Marriage,by Pamela Hansford Johnson,Very Good,£4.30
Crime and Punishment,by F. M. Dostoevsky,Very Good,£6.99
The Sorrows of Young Werther,by Bayard Quincy-Morgan,Very Good,£7.99
A Reader's Companion to J.D. Salinger's the Catcher in the Rye,by Contributor Peter G Beidler (Lehigh University),Very Good,£4.80
The Storm,by Daniel Defoe,Like New,£14.99
The Last Resort,by Pamela Hansford Johnson,Very Good,£5.90
The Portable Melville,by Herman Melville,Very Good,£3.49
Helen,by Maria Edgeworth,Very Good,£3.50
Custody,by Manju Kapur,Very Good,£3.50
Watership Down the Coloring Book,by Sophia O'Connor,Very Good,£9.00
The Old Curiosity Shop,by Charles Dickens,Very Good,£6.30
The Hunchback of Notre-Dame,by Victor Hugo,Very Good,£4.80
Eternal Husband,by Fyodor Dostoevsky,Very Good,£4.99
Les albums de Martine,by Collectif,Very Good,£4.00
The Mill on the Floss,by George Eliot,Very Good,£3.50
Cousin Phillis,by Elizabeth Cleghorn Gaskell,Very Good,£3.49
Eva Trout,by Elizabeth Bowen,Very Good,£7.90
Peter Pan,by J. M. Barrie,Like New,£6.30
The History of the Nun,by Aphra Behn,Very Good,£8.40
An Autumn Sowing,by E. F. Benson,Very Good,£3.50
Little Dorrit,by Charles Dickens,Very Good,£4.30
The Beautiful and Damned,by F. Scott Fitzgerald,Very Good,£9.99
Walter Scott,by Jane Millgate,Good,£4.60
Jane Eyre,by Charlotte Bronte,Very Good,£4.30
Mrs. Lirriper's Legacy and Mrs. Lirriper's Lodgings,by Charles Dickens,Very Good,£11.00
Alice's Adventures Under Ground,by Lewis Carroll,Very Good,£6.90
Island Landfalls,by Robert Louis Stevenson,Very Good,£3.50
Pride and Prejudice,by Jane Austen,Very Good,£3.49
Jane Eyre,by Charlotte Bronte,Like New,£5.00
Mr Britling Sees it Through,by H. G. Wells,Like New,£6.90
Jane Eyre,by Charlotte Bronte,Very Good,£3.70
The End of the Affair,by Graham Greene,Very Good,£5.30
Paying Guests,by E. F. Benson,Very Good,£3.50
Palo Alto,by James Franco,Very Good,£3.49
A Ring Upon the Sand,by R. B. Cunninghame Graham,Very Good,£6.60
Don Quixote,by Miguel de Cervantes,Very Good,£3.50
Last Gentleman,by Walker Percy,Good,£12.30
Death in Venice,by Thomas Mann,Well Read,£3.49
George Eliot,by George Eliot,Very Good,£4.10
Holiday Romance And Other Writings For Children,by Charles Dickens,Very Good,£3.49
"Confessions of Felix Krull, Confidence Man",by Thomas Mann,Well Read,£10.95
Mr. Standfast,by John Buchan,Very Good,£3.49
Munster Village,by Mary Hamilton,Very Good,£3.95
Trumpet Major,by Thomas Hardy,Very Good,£3.49
Hermsprong,by Robert Bage,Very Good,£4.95
Moby Dick,by Herman Melville,Very Good,£3.49
Kirsteen,by Margaret Oliphant,Like New,£9.10
Fanny Hill,by John Cleland,Very Good,£3.49
The New Gilded Age,by David Remnick,Very Good,£7.00
Sir Harry Hotspur of Humblethwaite,by Anthony Trollope,Very Good,£4.00
Frankenstein,by Mary Wollstonecraft Shelley,Very Good,£3.49
A Pair of Blue Eyes,by Thomas Hardy,Very Good,£3.50
L'arte della guerra,by Sun-Tzu,Very Good,£8.60
The Scarlet Letter Thrift Study Edition,by Nathaniel Hawthorne,Very Good,£6.40
Mary Barton,by Elizabeth Cleghorn Gaskell,Very Good,£3.50
Cuentos de bolsillo,by Esopo,Very Good,£4.80
A Christmas Carol,by Dickens,Very Good,£10.90
Pride and Prejudice,by Jane Austen,Very Good,£6.60
Things to Make and Mend,by Ruth Thomas,Very Good,£3.60
The Wings of the Dove,by Henry James,Good,£5.99
The Master and Margarita,by Mikhail Afanasevich Bulgakov,Very Good,£7.40
A Christmas Carol,by Charles Dickens,Very Good,£5.30
Shirley,by Charlotte Bronte,Very Good,£3.50
Gulliver's Travels,by Jonathan Swift,Very Good,£4.50
Belinda,by Rhoda Broughton,Well Read,£5.70
The Woman with One Hand (and) Mr. Ely's Engagement,by Richard Marsh,Like New,£24.90
An Outcast of the Islands,by Joseph Conrad,Good,£4.40
Brothers Karamazov,by F. M. Dostoevsky,Very Good,£6.99
Esther Waters,by George Moore,Very Good,£5.30
Dream of Fair to Middling Women,by Samuel Beckett,Very Good,£6.50
Under the Greenwood Tree,by Thomas Hardy,Well Read,£5.20
Victory,by Joseph Conrad,Very Good,£3.49
Macbeth,by The Gunston Trust,Like New,£14.50
Within the Rim and Other Essays,by Henry James,Very Good,£8.50
"Un sabato, con gli amici",by Andrea Camilleri,Very Good,£9.30
Der Wahn Und Die Traume in W. Jensens Gradiva,by Sigmund Freud,Very Good,£6.50
Sense & Sensibility,by Jane Austen,Very Good,£3.49
Sense and Sensibility,by Jane Austen,Good,£3.80
Moby Dick,by Herman Melville,Good,£3.99
The Old Curiosity Shop,by Charles Dickens,Very Good,£3.80
Great Expectations,by Dickens Charles,Very Good,£3.50
Les Aventures De Tom Sawyer,by Mark Twain,Very Good,£6.60
Moby Dick,by Herman Melville,Good,£3.49
The Portrait of a Lady,by Henry James,Very Good,£9.90
Goetz von Berlichingen,by Redaktion Groels-Verlag,Very Good,£6.00
Pride and Prejudice,by Jane Austen,Very Good,£3.50
The Return of Sherlock Holmes,by Sir Arthur Conan Doyle,Very Good,£3.49
Two on a Tower,by Thomas Hardy,Very Good,£4.30
Jude the Obscure,by Thomas Hardy,Very Good,£3.80
Betrayal of Trust,by J. A. Jance,Very Good,£3.49
Alexandros - Il confine del mondo,by Valerio Massimo Manfredi,Very Good,£6.60
Jane Austen and the State,by Mary Evans,Well Read,£3.49
Far from the Madding Crowd,by Thomas Hardy,Very Good,£4.10
The Pilgrims of New England,by Mrs J B Webb,Very Good,£8.40
Gulliver's Travels,by Jonathan Swift,Very Good,£7.40
The Scarlet Letter,by Nathaniel Hawthorne,Very Good,£4.80
Northanger Abbey,by Jane Austen,Very Good,£4.80
The Antiquary,by Sir Walter Scott,Very Good,£6.50
The Bostonians,by Henry James,Like New,£4.20
Red and the Black,by Stendhal,Very Good,£5.99
An Outcast of the Islands,by Joseph Conrad,Very Good,£3.90
El Viaje Del Elefante,by Jose Saramago,Good,£3.49
Selected Fables,by Jean de La Fontaine,Very Good,£5.99
Barry Lyndon,by William Makepeace Thackeray,Very Good,£4.10
The Portrait of Mr W.H.,by Oscar Wilde,Very Good,£7.99
The Wit and Wisdom of Mark Twain,by Mark Twain,Very Good,£3.49
A Landowner's Morning,by Leo Tolstoy,Very Good,£6.60
Nineteenth Century Stories by Women,by Glennis Stephenson,Very Good,£4.80
The Macdermots of Ballycloran,by Anthony Trollope,Very Good,£4.30
The Professor,by Rex Warner,Very Good,£6.50
L'Amour courtois,by Claude Lachet,Very Good,£5.50
Fille du destin,by Isabel Allende,Very Good,£7.10
Great Expectation (Student Edition),by Dickens,Good,£5.20
The Last Chronicle of Barset,by Anthony Trollope,Very Good,£3.90
Les albums de Martine,by Gerard De Villiers,Very Good,£3.49
The Valley of Fear,by Sir Arthur Conan Doyle,Very Good,£7.50
Howards End (Warbler Classics),by E M Forster,Very Good,£10.90
Le avventure di Huckleberry Finn,by Mark Twain,Very Good,£6.90
The Picture of Dorian Grey,by Oscar Wilde,Very Good,£4.30
Moby Dick,by Herman Melville,Very Good,£3.90
Candide ou L'optimisme,by Voltaire,Good,£3.70
Enfance,by Maxim Gorki,Well Read,£3.90
Andreas Hofer der Sandwirt von Passeier,by Karl Immermann,Like New,£4.20
The Barchester Chronicles,by Anthony Trollope,Very Good,£30.00
La loi du reveur,by Daniel Pennac,Good,£5.00
Bharathiyar Katturaigal,by Subramania Bharati,Like New,£3.80
Jane Eyre,by Charlotte Bronte,Good,£3.49
The Virgin Soldiers,by Leslie Thomas,Very Good,£3.49
Le Colporteur,by Guy de Maupassant,Good,£3.49
Candide,by Voltaire,Very Good,£7.60
Nanon,"by Title George Sand, pse",Very Good,£3.50
The Mark Twain Audio Collection,by Mark Twain,Very Good,£100.00
Scott Burton on the Range,by Edward G Cheyney,Very Good,£3.60
La bonne peinture,by Marcel Ayme,Very Good,£3.49
Captain Blood,by Rafael Sabatini,Very Good,£100.00
The Kreutzer Sonata,by Leo Tolstoy,Very Good,£13.99
The Jungle Book: Popular Penguins,by Rudyard Kipling,Good,£6.40
Robinson Crusoe,by Daniel Defoe,Very Good,£4.00
Billy et les Minuscules,by Roald Dahl,Very Good,£3.49
Le Grand Meaulnes,by Alain-Fournier,Well Read,£3.49
La ferme des animaux,by George Orwell,Very Good,£3.49
The Tenant of Wildfell Hall,by Anne Bronte,Very Good,£6.90
"Survey of French Literature, Volume 5",by Kenneth T. Rivers,Very Good,£3.49
Awesome Hitopadesh Tales,by Shree Book Centre,Good,£3.49
Ellernklipp,by Theodor Fontane,Very Good,£3.49
Oeuvres. Tome 6,by Louis-Elisabeth de la Vergne Tressan,Like New,£3.50
Les albums de Martine,by Claude Arnaud,Good,£4.80
"Thank You, Jeeves",by P.G. Wodehouse,Very Good,£6.20
Treasure Island,by Robert Louis Stevenson,Good,£3.49
Fermina Marquez,by Valery Larbaud,Good,£4.00
Utopia,by Sir Thomas More,Very Good,£3.49
Monsieur Lecoq,by Emile Gaboriau,Very Good,£22.70
Lancelot of the Laik,by Mythbank,Very Good,£3.49
The Adventures of Tom Sawyer,by Mark Twain,Like New,£19.99
Les albums de Martine,by Gilbert Delahaye,Very Good,£5.10
Aliocha,by Henri Troyat,Very Good,£3.49
The Three-cornered Hat,by Pedro Antonio de Alarcon,Like New,£3.49
Les petits cailloux,,Very Good,£4.00
The Dynamiter,by Robert Louis Stevenson,Good,£3.49
PRIDE & PREJUDICE NCE 1E PA,by Jane Austen,Very Good,£3.90
Trilby,by George Du Maurier,Very Good,£4.99
Mansfield Park,by Jane Austen,Good,£3.49
My Penguin Emma,by Jane Austen,Very Good,£4.30
Tom Sawyer Abroad,by Mark Twain,Very Good,£3.90
El Hombre Duplicado,by Jose Saramago,Very Good,£9.95
The Duke's Prize,by Maturin Murray Ballou,Very Good,£3.49
Corner Store,by Daniel J Praz,Very Good,£6.50
Doctor Thorne,by Anthony Trollope,Very Good,£3.90
Three Tales,by Gustave Flaubert,Good,£3.49
"A Collection of Old English Plays, Volume II (Esprios Classics)",by A H Bullen,Like New,£3.49
North and South,by Elizabeth Cleghorn Gaskell,Very Good,£3.49
The Oxford Book of English Love Stories,by J. A. Sutherland,Very Good,£3.90
Around the World in Eighty Days,by Jules Verne,Very Good,£4.00
The Red Badge of Courage,by Stephen Crane,Very Good,£4.20
My Dreams,by Alfred Cesare,Very Good,£7.50
Ormond,by Maria Edgeworth,Very Good,£4.00
The Awakening,by Kate Chopin,Very Good,£5.00
Cousin Henry,by Anthony Trollope,Very Good,£3.50
Pride and Prejudice (Barnes & Noble Classics Series),by Jane Austen,Very Good,£4.80
Far from the Madding Crowd,by Thomas Hardy,Very Good,£26.90
The Blithedale Romance,by Nathaniel Hawthorne,Very Good,£8.90
Romola,by George Eliot,Very Good,£5.50
"Essays and Lectures, For Love of the King & Impressions of America",by Oscar Wilde,Very Good,£6.60
Home Again & The Elect Lady,by George MacDonald,Very Good,£9.00
The Pilgrim's Progress,by John Bunyan,Very Good,£3.49
Persuasion (with a Memoir of Jane Austen By J.e. Austen-Leigh),,Very Good,£3.49
Sense and Sensibility,by Jane Austen,Good,£3.49
Three Men in an Omnibus,by Jerome Jerome,Very Good,£3.50
Tess of the D'Urbervilles,by Thomas Hardy,Very Good,£4.99
Nicholas Nickleby,by Charles Dickens,Well Read,£3.49
The Woodlanders,by Thomas Hardy,Very Good,£3.49
Barnaby Rudge,by Charles Dickens,Very Good,£4.55
Vanity Fair,by W M Thackeray,Very Good,£3.49
The Castle,by Franz Kafka,Very Good,£19.90
Ivanhoe,by Sir Walter Scott,Very Good,£3.50
Heart of Darkness and Other Stories,by Joseph Conrad,Very Good,£6.30
A Hero of Our Time,by Mikhail Lermontov,Very Good,£5.80
"An Ideal Husband, Charmides and Other Poems & Children in Prison and Other Cruelties of Prison Life",by Oscar Wilde,Like New,£6.90
Lebensbilder und Novellen,by Ludwig Bowitsch,Like New,£6.90
A Plucky Girl,by L T Meade,Like New,£8.30
Far from the Madding Crowd,by Thomas Hardy,Like New,£4.70
Les liaisons dangereuses,by Choderlos de Laclos,Very Good,£3.90
Kangaroo,by D.H. Lawrence,Very Good,£5.90
Memories of a War Horse,by Ernst Johannsen,Very Good,£3.49
The Last of the Mohicans,by James Fenimore Cooper,Very Good,£4.30
Gulliver's Travels,by Jonathan Swift,Very Good,£3.49
Frenchman's Creek,by Daphne Du Maurier,Very Good,£9.99
David Copperfield,by Charles Dickens,Good,£4.60
Incognita,by William Congreve,Very Good,£3.50
Russian Romantic Prose,by Carl Proffer,Very Good,£6.90
Daniel Deronda,by George Eliot,Very Good,£3.50
From the Earth to the Moon,by Jules Verne,Very Good,£18.90
The Forsyte Saga,by John Galsworthy,Very Good,£3.50
Madame Bovary,by Gustave Flaubert,Very Good,£4.99
A Sentimental Journey and Other Writings,by Laurence Sterne,Very Good,£3.80
Journey to the Center of the Earth (Barnes & Noble Classics Series),by Jules Verne,Very Good,£4.99
"In a Steamer Chair, and Other Stories & From Whose Bourne",by Robert Barr,Like New,£3.49
Kid Scanlan,by H C Witwer,Like New,£3.49
Pride and Prejudice,by Jane Austen,Well Read,£3.49
Jane Eyre,by Charlotte Bronte,Very Good,£5.30
The Gun Club Boys of Lakeport,by Edward Stratemeyer,Very Good,£3.49
Northanger Abbey (Barnes & Noble Classics Series),by Jane Austen,Very Good,£4.30
Great Expectations,by Charles Dickens,Very Good,£3.49
Ubijstvo Rodzhera Ekrojda,by Agatha Christie,Very Good,£20.95
Pere Goriot (Barnes & Noble Classics Series),by Honore de Balzac,Good,£6.30
The Pilgrim's Progress,by John Bunyan,Good,£3.49
Roderick Random,by Tobias Smollett,Very Good,£4.60
The Subjection of Women,by John Stuart Mill,Good,£3.80
Sense and Sensibility,by Jane Austen,Very Good,£3.49
Uncle Fred in the Springtime,by P.G. Wodehouse,Very Good,£5.30
The Hobbit,by J R R Tolkien,Like New,£11.50
Der kleine Wassermann,by Otfried Preussler,Very Good,£6.00
The Mystery of a Hansom Cab,by Fergus W. Hume,Well Read,£3.49
Vereinigungen,by Robert Musil,Like New,£3.49
Italian Tales,by Henry James,Very Good,£3.49
Jasmine Nights,by Julia Gregson,Very Good,£6.50
Sense and Sensibility,by Jane Austen,Very Good,£3.49
Can You Forgive Her?,by Anthony Trollope,Very Good,£3.49
The Incredulity of Father Brown,by G K Chesterton,Very Good,£7.40
The Vintage Book of Love Stories,by Helen Byatt,Very Good,£3.80
That Pup,by Ellis Parker Butler,Very Good,£8.50
The Uprooted Vine,by Swarnakumari Debi,Very Good,£6.60
"Mere ET Fille/Correspondances De Mme De Sevigne, Sand, Sido, Colette",by Marie de R-C Sevigne,Very Good,£3.50
The Mill on the Floss,by Eliot George,Very Good,£3.49
Romola,by George Eliot,Very Good,£3.50
A New-England Tale,by Catharine Maria Sedgwick,Very Good,£6.60
The House of Mirth,by Edith Wharton,Good,£6.30
Jane Eyre,by Charlotte Bronte,Very Good,£4.50
The History of Sir Richard Whittington,by T H,Very Good,£6.60
The Golden Pot,by E. T. A. Hoffmann,Very Good,£4.70
The Great Escapes: Four Slave Narratives (Barnes & Noble Classics Series),by Various,Very Good,£5.70
Jude the Obscure,by Thomas Hardy,Very Good,£3.49
Novelists on Novelists,by David Dowling,Good,£7.50
Crime and Punishment,by Fyodor Dostoevsky,Very Good,£6.99
Les Miserables,by Victor Hugo,Very Good,"£4,30"
Men Like Gods,by H. G. Wells,Very Good,"£9,30"
SCARLET LETTER NCE 3E PA,by Nathaniel Hawthorne,Very Good,"£5,30"
Sense and Sensibility,by Jane Austen,Very Good,"£3,49"
Olive: A Young Girl's Triumph Over Prejudice,by Dinah Maria Mulock Craik,Well Read,"£6,99"
L'anniversaire de Monsieur Guillaume,by Anas Vaugelade,Very Good,"£5,95"
Persuasion,by Jane Austen,Very Good,"£4,80"
The Golden Bowl,by Henry James,Very Good,"£3,50"
Esther Waters,by George Moore,Good,"£3,49"
Great Expectations,by Charles Dickens,Very Good,"£3,49"
Catharine Furze,by Mark Rutherford,Very Good,"£3,95"
New Grub Street,by George Gissing,Very Good,"£3,50"
Raison Et Sentiments,by Jane Austen,Very Good,"£4,00"
The Ship,by C.S. Forester,Very Good,"£3,90"
Great Expectations,by Charles Dickens,Very Good,"£7,90"
Tess of the D'Urbervilles,by Thomas Hardy,Very Good,"£6,99"
The Figure in the Carpet,by Henry James,Very Good,"£3,49"
Venus in Furs,by Leopold von Sacher-Masoch,Very Good,"£5,99"
Drumorty Revisited,by Mike Gibb,Very Good,"£6,20"
Cranford,by Elizabeth Cleghorn Gaskell,Very Good,"£14,99"
A Selection of Classical Chinese Essays From Guwenguanzhi,by Luo Jingguo,Very Good,"£7,00"
Frances Eleanor Trollope - That Unfortunate Marriage,by Frances Eleanor Trollope,Like New,"£8,90"
Le Portrait de Dorian Gray,by Oscar Wilde,Very Good,"£4,95"
"Eloisa, or a Series of Original Letters",by Jean-Jacques Rousseau,Very Good,"£55,00"
