title,author,condition,price
Lady Audley's Secret,by Mary Elizabeth Braddon,Very Good,£7.50
The Woman in White,by Wilkie Collins,Very Good,£3.80
C'est moi le plus fort,by Mario Ramos,Very Good,£4.80
Monsieur Lecoq,by Emile Gaboriau,Very Good,£10.80
Heidi,by Johanna Spyri,Very Good,£4.60
Nineteen Eighty-Four,by George Orwell,Very Good,£8.99
Utopia,by Saint Thomas More,Like New,£5.60
The Adventures of Sherlock Holmes,by Sir Arthur Conan Doyle,Very Good,£11.20
Little Women,by Louisa Alcott,Very Good,£3.49
The Country of the Pointed Firs,by Sarah Orne Jewett,Very Good,£5.99
Agony and Hope,by Carol S Bowes,Like New,£6.30
Jane Eyre & Wuthering Heights,by Charlotte Bronte,Very Good,£6.30
The Beautiful and Damned,by F. Scott Fitzgerald,Like New,£9.40
Barbara,by Jorgen-Frantz Jacobsen,Very Good,£3.49
The Plague,by Albert Camus,Very Good,£3.50
Wuthering Heights,by Emily Bronte,Very Good,£3.49
The Complete Angler,by Izaak Walton,Very Good,£8.49
The Portrait of a Lady,by Henry James,Very Good,£3.49
One Fateful Night,by Michelle B,Very Good,£15.60
Pride and Prejudice,by Jane Austen,Very Good,£3.50
Buried Alive,by Arnold Bennett,Very Good,£5.60
Night And Day,by Virginia Woolf,Very Good,£4.80
Time and Change,by John Burroughs,Very Good,£6.90
Florence L. Barclay - The Rosary,by Florence L Barclay,Well Read,£3.60
O Mice an Men,by John Steinbeck,Very Good,£11.95
Peregrine Pickle,by Tobias Smollett,Well Read,£5.99
Effi Briest,by William a Cooper,Very Good,£6.60
Mathilda,by Mary Shelley,Very Good,£18.95
The War of the Worlds,by H. G. Wells,Like New,£4.50
Vanity Fair,by William Makepeace Thackeray,Very Good,£4.80
Great Expectations,by Charles Dickens,Very Good,£3.50
First Love,by Ivan Sergeyevich Turgenev,Very Good,£4.80
A Little Princess (AmazonClassics Edition),by Frances Hodgson Burnett,Very Good,£4.99
Pamela,by Samuel Richardson,Very Good,£3.70
Night And Day,by Virginia Woolf,Good,£3.80
Il dottor Zivago,by Boris Pasternak,Very Good,£8.90
Marquise of O,by Heinrich Von Kleist,Very Good,£3.49
Mrs Dalloway,by Virginia Woolf,Very Good,£8.00
Great Expectations,by Charles Dickens,Very Good,£3.49
Waltz,by Francesc Trabal,Very Good,£9.00
Emma (with an Introduction by Austin Dobson),by Jane Austen,Very Good,£8.99
Sunset Song,by Lewis Grassic Gibbon,Very Good,£7.99
The Secret Agent,by Joseph Conrad,Very Good,£3.50
The Touchstone,by Edith Wharton,Very Good,£5.99
Professions; A Novel.,by Floyd Tayleure,New,£17.79
John Caldigate.,by Anthony Trollope,New,£17.79
The Letters of Charles Dickens. Edited by his sister-in-law and his eldest daughter.,by Charles Dickens,New,£28.69
Works of Charles Dickens. Library Edition.,by Charles Dickens,New,£21.29
The Letters of Charles Dickens. Edited by his sister-in-law and his eldest daughter.,by Charles Dickens,New,£26.79
"The Works of G. P. R. J., Revised and Corrected by the Author. with an Introductory Preface.",by George Payne Rainsford James,New,£28.69
Mark Tillotson. a Novel.,"by James Baker, III (Hurtwood House, Surrey)",New,£17.79
The Nun's Curse. a Novel.,"by J H Riddell, Mrs",New,£17.79
A Lion Amongst the Ladies. a Novel.,by Professor Philip Gaskell,New,£16.99
"The Marriage of Elinor, Etc. [A Novel.]",by Margaret Wilson Oliphant,New,£17.79
Dr. Willoughby Smith. a Novel.,by Mary A M Hoppus,New,£17.79
"PH Be, Junior. a Last Chronicle of Carlingford.",by Margaret Wilson Oliphant,New,£18.69
"Diana Carew; Or, for a Woman's Sake.",by Forrester,New,£17.79
The Secret Agent,by Joseph Conrad,New,£32.59
The Sorrows of Young Werther,by Johann Wolfgang Von Goethe,New,£8.59
The Merry Adventures of Robin Hood (Legacy Collection),by Howard Pyle,New,£12.09
Gone with the Wind,by Margaret Mitchell,New,£36.39
Wuthering Heights,by Emily Bronte,New,£23.69
To the Lighthouse,by Virginia Woolf,Very Good,£6.90
Frankenstein,by Mary Shelley,Very Good,£6.90
Confessions of an English Opium-Eater,"by De Quincey, Thomas",Very Good,£3.49
No Name,by Wilkie Collins,Very Good,£4.30
The Scarlet Letter,by Nathaniel Hawthorne,New,£7.19
The Italian Girl,by Iris Murdoch,Very Good,£3.50
Mr. Incoul's Misadventure,by Edgar Saltus,Very Good,£6.30
Mr. Spaceship,by Philip K Dick,Very Good,£6.30
Today is Forever,by Roger D Aycock,Very Good,£6.30
Immensee,by Theodor Storm,Like New,£6.40
A Tale of Two Cities,by Charles Dickens,Very Good,£6.30
Wild Adventures in Wild Places,by William Gordon Stables,Very Good,£6.30
El Hombre Invisible - The Invisible Man,by H. G. Wells,Like New,£6.60
Mr. Togo,by Wallace Irwin,Very Good,£6.30
Crumbling Pageant,by Elisabeth Inglis-Jones,Very Good,£6.60
Sacre sandwich !,by Christian Voltz,Very Good,£4.30
Christmas Classic,by L Frank Baum,Like New,£8.00
Madame Bovary,by Gustave Flaubert,Good,£21.70
The Secret Agent (Modern Edition),by Tomasz Goetel,Very Good,£6.90
"Thomas Wingfold, Curate V3",by George MacDonald,Very Good,£6.30
A Legend of Montrose,by Sir Walter Scott,Very Good,£6.30
In Spite of All a Novel,by Edna Lyall,Very Good,£6.30
Le Docteur Pascal,by Emile Zola,Very Good,£7.70
The Mill on the Floss,by George Eliot,Very Good,£6.30
The Adventures of Pinocchio,by Carlo Collodi,Very Good,£6.30
Gulliver's Travels,by Jonathan Swift,Very Good,£6.90
Devi Chaudhurani ( Bengali Edition ),by Bankim Chandra Chatterjee,Very Good,£3.49
Against Nature,by Joris-Karl Huysmans,Good,£18.90
"Ferdinand, The Man with the Kind Heart",by Irmgard Keun,Very Good,£100.00
Black Beauty,by Anna Sewell,Like New,£6.60
Orlando,by Virginia Woolf,Very Good,£7.99
The Jungle Books,by Rudyard Kipling,Very Good,£3.70
Candide and Other Stories,by Voltaire,Very Good,£3.70
Unknown Soldiers,by Vainoe Linna,Like New,£7.80
North and South,by Elizabeth Gaskell,Very Good,£4.30
Cold Comfort Farm,by Stella Gibbons,Very Good,£5.30
Pied Piper,by Nevil Shute,Very Good,£5.50
The Castle,by Franz Kafka,Well Read,£3.90
Winter in the Air,by Sylvia Townsend Warner,Very Good,£5.20
Vanity Fair,by William Makepeace Thackeray,Very Good,£9.00
The Scarlet Letter,by Nathaniel Hawthorne,Very Good,£4.80
The Ambassadors,by Henry James,Like New,£5.60
Martin Chuzzlewit,by Charles Dickens,Very Good,£3.60
The Well of Loneliness,by Radclyffe Hall,Very Good,£9.99
Clochemerle,by Gabriel Chevallier,Very Good,£4.30
Remembrance of Things Past: Volume 1,by Marcel Proust,Good,£6.60
"Will You Please Be Quiet, Please?",by Raymond Carver,Very Good,£3.70
Little Dorrit,by Charles Dickens,Very Good,£3.90
La Casa de Bernarda Alba,by Federico Garcia Lorca,Very Good,£5.30
Under the Greenwood Tree,by Thomas Hardy,Very Good,£3.50
The Last Tycoon,by F. Scott Fitzgerald,Very Good,£4.60
Giant's Bread,by Agatha Christie,Very Good,£7.40
Northanger Abbey,by Jane Austen,Very Good,£16.00
Martin Chuzzlewit,by Charles Dickens,Very Good,£4.80
A Tale of Two Cities,by Charles Dickens,Very Good,£3.49
Young Adam,by Alexander Trocchi,Very Good,£7.90
Investigations of a Dog,by Franz Kafka,Very Good,£3.49
Northanger Abbey,by Jane Austen,Very Good,£10.00
The Heart Of A Dog,by Mikhail Bulgakov,Very Good,£4.30
Service with a Smile,by P.G. Wodehouse,Very Good,£3.50
The Venice Train,by Georges Simenon,Very Good,£6.30
A Haunting in Venice,by Agatha Christie,Like New,£4.50
Little Dorrit,by Charles Dickens,Very Good,£3.90
Lady Susan,by Jane Austen,Very Good,£3.49
